"_id","tweet_text","tweet_lang","tweet_sentiment_value"
"595e60b48fcd022a715f7b7b","this @airfrance b777-300er has the oldest ifes i've ever seen. it belongs in a museum. the terrible smell isn't helping either.","en","0"
"595e60de8fcd022a715f7b7d","???? will miss my connection @airfrance https://t.co/2olmtwcxyk","en","0"
"595e61448fcd022a715f7b7f","@airfrance lost luggage in overhead cabin, email no response, phone no one answers. pls help.","en","0"
"595e62748fcd022a715f7b83","here's a new twist on the ""all airlines hate musicians"" saga. we saw our gear @ the plane, &amp; yet now @airfrance have no clue where it is!!!","en","0"
"595e62b28fcd022a715f7b86","@airfrance so now i might not have 3 pieces of my most important gear 4 the most important dublin show i've ever done. thanks @airfrance","en","0"
"595e62db8fcd022a715f7b8c","@airfrance how do you lose gear at the  plane!?? like what's the thought process there?? it's literally 10 feet 2 go b4 it's on the plane!!!","en","0"
"595e64088fcd022a715f7b98","reminded of why i hate flying @airfrance via @cdg. crap information provision &amp; not enough seats at the gates...","en","0"
"595e64998fcd022a715f7b9e","@airfrance charges 0.35 € to call them. we've been on hold for 6 minutes.  is this normal #france ??","en","0"
"595e64998fcd022a715f7b9f","so @cdg @airfrance, my delayed flight to a'dam still says it'll be boarding at 18.05. and it is now 18.25. explain?!","en","0"
"595e64bf8fcd022a715f7ba2","@airfrance you made our kid flin horrible condition and you don't even reply to our complaint!
what a shame","en","0"
"595e64e98fcd022a715f7ba4","@airfrance you made our kid fly in horrible condition and you and your partner @aireuropa don't even reply to our complaint!
what a shame","en","0"
"595e64fc8fcd022a715f7ba5","#airfrance you made our kid fly in horrible condition and you and your partner #aireuropa don't even reply to our complaint!
what a shame","en","0"
"595e65688fcd022a715f7ba6","still no suitcase. and no information. at least @airfrance are getting back to me. atrocious customer service @bmibaby_com @bristolairport","en","0"
"595e66678fcd022a715f7bab","@thecollinsshow @themetztheory @airfrance yep. what's crazy is, i haven't been offered anything to compensate me fo… https://t.co/n1tjejmjb1","en","0"
"595e67078fcd022a715f7bb1","@thecollinsshow @airfrance i don't believe they deal in the business of making sure their customers are properly se… https://t.co/lcmpqwpxbg","en","0"
"595e67078fcd022a715f7bb2","@airfrance i am now finally onboard, but the customer experience today has thus far left a lot to desired...","en","0"
"595e67c28fcd022a715f7bb5","@airfrance delay is not the major issue, it is the lack of information &amp; nowhere for people to sit. an old woman en… https://t.co/fnen31pyjx","en","0"
"595e68278fcd022a715f7bb8","@airfrance at 18.40, it still isn't going anywhere fast...","en","0"
"595e68758fcd022a715f7bbc","on hold for 60 minutes with @airfrance and my call was automatically cut off!!!! waste of my time!!!","en","0"
"595e69918fcd022a715f7bbf","@airfrance i always provide this stuff &amp; then never hear a thing back! the bags were at the ?? , your staff took th… https://t.co/z5uvbpw55f","en","0"
"595e6be28fcd022a715f7bc8","@airfrance actually 4 people that work for me have contacted u via twitter b4 about lost baggage, but i appreciate the sarcastic response.","en","0"
"595e6c9b8fcd022a715f7bca","@airfrance 19.00 and still not left the gate...","en","0"
"595e6dc48fcd022a715f7bcd","@airfrance if you guys are confident you can help then i will trust that assurance, i have dmed u the baggage ref g… https://t.co/9hecxkxl77","en","0"
"595e6e978fcd022a715f7bd2","@airfrance after 18 hours, i still do not have confirmation emails for claims. now what do i do.","en","0"
"595e70708fcd022a715f7bd9","@airfrance 19.16 and af1440 still not going anywhere fast...","en","0"
"595e75af8fcd022a715f7be5","soon air france will postulate for chapter 11. thisfrenchairlinecompanyhasn'tsurvivedthecompetitionfight.tobeblameduponhightveryfrenchtaxes","en","0"
"595e762c8fcd022a715f7be6","@airfrance @airfrance - i already dm'ed u my reference number and you linked me to your website in response. is thi… https://t.co/leuewdeuhf","en","0"
